00	Procedures and interventions, Not Elsewhere Classified
00.0	Therapeutic ultrasound
00.01	Therapeutic ultrasound of vessels of head and neck
00.02	Therapeutic ultrasound of heart
00.03	Therapeutic ultrasound of peripheral vascular vessels
00.09	Other therapeutic ultrasound
00.1	Pharamaceuticals
00.10	Implantation of chemotherapeutic agent
00.11	Infusion of drotrecogin alfa (activated)
00.12	Administration of inhaled nitric oxide
00.13	Injection or infusion of nesiritide
00.14	Injection or infusion of oxazolidinone class of antibiotics
00.15	High-dose infusion interleukin-2 [IL-2]
00.16	Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance
00.17	Infusion of vasopressor agent
00.18	Infusion of immunosuppressive antibody therapy
00.19	Disruption of blood brain barrier via infusion [BBBD]
00.2	Intravascular imaging of blood vessels
00.21	Intravascular imaging of extracranial cerebral vessels
00.22	Intravascular imaging of intrathoracic vessels
00.23	Intravascular imaging of peripheral vessels
00.24	Intravascular imaging of coronary vessels
00.25	Intravascular imaging of renal vessels
00.28	Intravascular imaging, other specified vessel(s)
00.29	Intravascular imaging, unspecified vessel(s)
00.3	Computer assisted surgery [CAS]
00.31	Computer assisted surgery with CT/CTA
00.32	Computer assisted surgery with MR/MRA
00.33	Computer assisted surgery with fluoroscopy
00.34	Imageless computer assisted surgery
00.35	Computer assisted surgery with multiple datasets
00.39	Other computer assisted surgery
00.4	Adjunct vascular system procedures
00.40	Procedure on single vessel
00.41	Procedure on two vessels
00.42	Procedure on three vessels
00.43	Procedure on four or more vessels
00.44	Procedure on vessel bifurcation
00.45	Insertion of one vascular stent
00.46	Insertion of two vascular stents
00.47	Insertion of three vascular stents
00.48	Insertion of four or more vascular stents
00.49	SuperSaturated oxygen therapy
00.5	Other cardiovascular procedures
00.50	Implantation of cardiac resynchronization pacemaker without mention of defibrillation,
00.51	Implantation of cardiac resynchronization defibrillator, total system [CRT-D]
00.52	Implantation or replacement of transvenous lead [electrode] into left ventricular coronary
00.53	Implantation or replacement of cardiac resynchronization pacemaker pulse generator
00.54	Implantation or replacement of cardiac resynchronization defibrillator pulse generator
00.55	Insertion of drug-eluting stent(s) of other peripheral vessel(s)
00.56	Insertion or replacement of implantable pressure sensor with lead for intracardiac or great
00.57	Implantation or replacement of subcutaneous device for intracardiac or great vessel
00.58	Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)
00.59	Intravascular pressure measurement of coronary arteries
00.6	Procedures on blood vessels
00.60	Insertion of drug-eluting stent(s) of superficial femoral artery
00.61	Percutaneous angioplasty of extracranial vessel(s)
00.62	Percutaneous angioplasty of intracranial vessel(s)
00.63	Percutaneous insertion of carotid artery stent(s)
00.64	Percutaneous insertion of other extracranial artery stent(s)
00.65	Percutaneous insertion of intracranial vascular stent(s)
00.66	Percutaneous transluminal coronary angioplasty [PTCA]
00.67	Intravascular pressure measurement of intrathoracic arteries
00.68	Intravascular pressure measurement of peripheral arteries
00.69	Intravascular pressure measurement, other specified and unspecified vessels
00.7	Other hip procedures
00.70	Revision of hip replacement, both acetabular and femoral components
00.71	Revision of hip replacement, acetabular component
00.72	Revision of hip replacement, femoral component
00.73	Revision of hip replacement, acetabular liner and/or femoral head only
00.74	Hip bearing surface, metal-on-polyethylene
00.75	Hip bearing surface, metal-on-metal
00.76	Hip bearing surface, ceramic-on-ceramic
00.77	Hip bearing surface, ceramic-on-polyethylene
00.8	Other knee and hip procedures
00.80	Revision of knee replacement, total (all components)
00.81	Revision of knee replacement, tibial component
00.82	Revision of knee replacement, femoral component
00.83	Revision of knee replacement, patellar component
00.84	Revision of total knee replacement, tibial insert (liner)
00.9	Other procedures and interventions
00.91	Transplant from live related donor
00.92	Transplant from live non-related donor
00.93	Transplant from cadaver
00.94	Intra-operative neurophysiologic monitoring
01	Incision and excision of skull, brain, and cerebral meninges
01.0	Cranial puncture
01.01	Cisternal puncture
01.02	Ventriculopuncture through previously implanted catheter
01.09	Other cranial puncture
01.1	Diagnostic procedures on skull, brain, and cerebral meninges
01.10	Intracranial pressure monitoring
01.11	Closed [percutaneous] [needle] biopsy of cerebral meninges
01.12	Open biopsy of cerebral meninges
01.13	Closed [percutaneous] [needle] biopsy of brain
01.14	Open biopsy of brain
01.15	Biopsy of skull
01.16	Intracranial oxygen monitoring
01.17	Brain temperature monitoring
01.18	Other diagnostic procedures on brain and cerebral meninges
01.19	Other diagnostic procedures on skull
01.2	Craniotomy and craniectomy
01.20	Cranial implantation or replacement of neurostimulator pulse generator
01.21	Incision and drainage of cranial sinus
01.22	Removal of intracranial neurostimulator lead(s)
01.23	Reopening of craniotomy site
01.24	Other craniotomy
01.25	Other craniectomy
01.26	Insertion of catheter(s) into cranial cavity or tissue
01.27	Removal of catheter(s) from cranial cavity or tissue
01.28	Placement of intracerebral catheter(s) via burr hole(s)
01.29	Removal of cranial neurostimulator pulse generator
01.3	Incision of brain and cerebral meninges
01.31	Incision of cerebral meninges
01.32	Lobotomy and tractotomy
01.39	Other incision of brain
01.4	Operations on thalamus and globus pallidus
01.41	Operations on thalamus
01.42	Operations on globus pallidus
01.5	Other excision or destruction of brain and meninges
01.51	Excision of lesion or tissue of cerebral meninges
01.52	Hemispherectomy
01.53	Lobectomy of brain
01.59	Other excision or destruction of lesion or tissue of brain
01.6	Excision of lesion of skull
02	Other operations on skull, brain, and cerebral meninges
02.0	Cranioplasty
02.01	Opening of cranial suture
02.02	Elevation of skull fracture fragments
02.03	Formation of cranial bone flap
02.04	Bone graft to skull
02.05	Insertion of skull plate
02.06	Other cranial osteoplasty
02.07	Removal of skull plate
02.1	Repair of cerebral meninges
02.11	Simple suture of dura mater of brain
02.12	Other repair of cerebral meninges
02.13	Ligation of meningeal vessel
02.14	Choroid plexectomy
02.2	Ventriculostomy
02.21	Insertion or replacement of external ventricular drain [EVD]
02.22	Intracranial ventricular shunt or anastomosis
02.3	Extracranial ventricular shunt
02.31	Ventricular shunt to structure in head and neck
02.32	Ventricular shunt to circulatory system
02.33	Ventricular shunt to thoracic cavity
02.34	Ventricular shunt to abdominal cavity and organs
02.35	Ventricular shunt to urinary system
02.39	Ventricular shunt to extracranial site NEC
02.4	Revision, removal, and irrigation of ventricular shunt
02.41	Irrigation and exploration of ventricular shunt
02.42	Replacement of ventricular shunt
02.43	Removal of ventricular shunt
02.9	Other operations on skull, brain, and cerebral meninges
02.91	Lysis of cortical adhesions
02.92	Repair of brain
02.93	Implantation or replacement of intracranial neurostimulator lead(s)
02.94	Insertion or replacement of skull tongs or halo traction device
02.95	Removal of skull tongs or halo traction device
02.96	Insertion of sphenoidal electrodes
02.99	Other
03	Operations on spinal cord and spinal canal structures
03.0	Exploration and decompression of spinal canal structures
03.01	Removal of foreign body from spinal canal
03.02	Reopening of laminectomy site
03.09	Other exploration and decompression of spinal canal
03.1	Division of intraspinal nerve root
03.2	Chordotomy
03.21	Percutaneous chordotomy
03.29	Other chordotomy
03.3	Diagnostic procedures on spinal cord and spinal canal structures
03.31	Spinal tap
03.32	Biopsy of spinal cord or spinal meninges
03.39	Other diagnostic procedures on spinal cord and spinal canal structures
03.4	Excision or destruction of lesion of spinal cord or spinal meninges
03.5	Plastic operations on spinal cord structures
03.51	Repair of spinal meningocele
03.52	Repair of spinal myelomeningocele
03.53	Repair of vertebral fracture
03.59	Other repair and plastic operations on spinal cord structures
03.6	Lysis of adhesions of spinal cord and nerve roots
03.7	Shunt of spinal theca
03.71	Spinal subarachnoid-peritoneal shunt
03.72	Spinal subarachnoid-ureteral shunt
03.79	Other shunt of spinal theca
03.8	Injection of destructive agent into spinal canal
03.9	Other operations on spinal cord and spinal canal structures
03.90	Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
03.91	Injection of anesthetic into spinal canal for analgesia
03.92	Injection of other agent into spinal canal
03.93	Implantation or replacement of spinal neurostimulator lead(s)
03.94	Removal of spinal neurostimulator lead(s)
03.95	Spinal blood patch
03.96	Percutaneous denervation of facet
03.97	Revision of spinal thecal shunt
03.98	Removal of spinal thecal shunt
03.99	Other
04	Operations on cranial and peripheral nerves
04.0	Incision, division, and excision of cranial and peripheral nerves
04.01	Excision of acoustic neuroma
04.02	Division of trigeminal nerve
04.03	Division or crushing of other cranial and peripheral nerves
04.04	Other incision of cranial and peripheral nerves
04.05	Gasserian ganglionectomy
04.06	Other cranial or peripheral ganglionectomy
04.07	Other excision or avulsion of cranial and peripheral nerves
04.1	Diagnostic procedures on peripheral nervous system
04.11	Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion
04.12	Open biopsy of cranial or peripheral nerve or ganglion
04.19	Other diagnostic procedures on cranial and peripheral nerves and ganglia
04.2	Destruction of cranial and peripheral nerves
04.3	Suture of cranial and peripheral nerves
